City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,coahuayana de hidalgo,18.7,-103.6583,33.24,61,37,2.77,MX,1696184171
305,kobayashi,31.9833,130.9833,19.72,96,63,1.6,JP,1696184171
306,kerikeri,-35.2268,173.9474,10.01,95,24,2.71,NZ,1696184172
307,westport,41.1415,-73.3579,25.9,62,0,4.12,US,1696184104
308,cabo san lucas,22.8909,-109.9124,35.34,56,0,4.47,MX,1696184172
309,ostersund,63.1792,14.6357,7.25,81,0,4.63,SE,1696184172
310,echuca,-36.1333,144.75,8.87,84,0,3.24,AU,1696184172
311,kaitong,44.8135,123.15,10.69,44,56,3.24,CN,1696184172
312,kelme,55.6339,22.9342,12.01,86,45,3.43,LT,1696184172
313,quibala,-10.7337,14.98,19.63,91,71,1.25,AO,1696184172
314,ghat,24.9647,10.1728,28.09,32,66,5.17,LY,1696184173
315,severo-yeniseyskiy,60.3725,93.0408,-3.01,87,93,3.58,RU,1696184173
316,buxar,25.5833,83.9833,25.46,86,96,3.68,IN,1696184173
317,kirakira,-10.4544,161.9205,25.84,86,92,4.37,SB,1696184173
318,cheremkhovo,53.1561,103.0675,0.17,71,99,2.24,RU,1696184173
319,puerto aysen,-45.4,-72.7,9.11,83,90,2.29,CL,1696184174
320,valparaiso,-33.0393,-71.6273,16.67,76,100,3.09,CL,1696184076
321,la'ie,21.6477,-157.9253,27.98,80,26,2.68,US,1696184174
322,mtsensk,53.2766,36.5733,13.92,92,100,2.71,RU,1696184174
323,ar ruways,24.1103,52.7306,30.6,54,0,3.63,AE,1696184174
324,karratha,-20.7377,116.8463,24.75,34,0,6.58,AU,1696184174
325,acarau,-2.8856,-40.12,30.17,57,39,9.56,BR,1696184174
326,edmundston,47.3737,-68.3251,21.74,50,0,6.17,CA,1696184175
327,lihue,21.9789,-159.3672,26.77,81,100,5.14,US,1696184175
328,luanda,-8.8368,13.2343,25.0,78,75,4.12,AO,1696184175
329,jackson,42.4165,-122.8345,14.28,71,0,0.45,US,1696184175
330,camabatela,-8.1881,15.375,19.25,78,91,1.22,AO,1696183880
331,levuka,50.1834,-105.4011,11.9,87,100,4.29,CA,1696184175
332,nuku'alofa,-21.1333,-175.2,20.19,64,40,6.69,TO,1696184175
333,el calafate,-50.3408,-72.2768,4.66,53,10,5.18,AR,1696183992
334,tafo,6.7345,-1.6127,23.25,96,58,1.85,GH,1696184176
335,tobelo,1.7284,128.0095,26.52,86,58,2.04,ID,1696184176
336,zeya,53.75,127.2667,4.94,87,95,1.79,RU,1696184176
337,altai,46.3722,96.2583,3.1,77,56,1.76,MN,1696184176
338,tidjikja,18.5564,-11.4271,35.76,9,40,4.07,MR,1696184176
339,lambarene,-0.7001,10.2406,25.61,87,89,2.1,GA,1696184053
340,bereket,39.2446,55.5154,19.86,20,2,4.32,TM,1696184177
341,dzyarzhynsk,53.6832,27.138,10.61,84,70,3.79,BY,1696184177
342,la sarre,48.8002,-79.1996,22.01,49,51,0.98,CA,1696184177
343,hamilton,39.1834,-84.5333,29.32,55,0,4.63,US,1696184117
344,egilsstadir,65.2653,-14.3948,5.95,93,75,7.2,IS,1696184177
345,wotje,9.4543,170.2367,27.66,77,100,6.58,MH,1696184177
346,vanino,49.0869,140.2543,9.96,83,100,5.15,RU,1696184177
347,nieuw amsterdam,5.8833,-55.0833,37.79,54,78,4.38,SR,1696184178
348,ascension,30.2169,-90.9001,33.93,48,1,5.19,US,1696184178
349,talakan,50.3167,130.3667,7.16,96,99,1.51,RU,1696184178
350,nur-sultan,51.1801,71.446,7.97,81,20,6.0,KZ,1696183938
351,wagar,16.1525,36.2032,35.76,17,0,0.73,SD,1696184178
352,marang,5.2056,103.2059,25.95,83,64,1.34,MY,1696184178
353,malanje,-9.5402,16.341,23.38,68,77,1.58,AO,1696184178
354,sabang,5.8933,95.3214,28.04,77,27,7.0,ID,1696184178
355,igarka,67.4667,86.5833,-4.51,69,2,1.88,RU,1696184179
356,huarmey,-10.0681,-78.1522,22.16,74,89,4.85,PE,1696184179
357,villa gesell,-37.2639,-56.973,12.25,73,9,4.54,AR,1696183993
358,saldanha,-33.0117,17.9442,14.03,73,0,4.87,ZA,1696184179
359,pasni,25.2631,63.471,27.47,61,1,5.15,PK,1696184179
360,san andres,12.5847,-81.7006,30.01,79,40,7.2,CO,1696184180
361,flin flon,54.7682,-101.865,5.91,93,100,4.12,CA,1696184180
362,burang,30.25,81.1667,5.3,83,27,2.09,CN,1696184180
363,san jose,37.3394,-121.895,21.98,54,20,4.02,US,1696183883
